[2026-08-03 08:53:17 +0000] [17666] [INFO] Starting gunicorn 23.0.0
[2026-08-03 08:53:17 +0000] [17666] [ERROR] Connection in use: ('127.0.0.1', 8001)
    ~~~~~~~~~~~~^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/database/database.py", line 147, in connect
    self.get_connection()
    ~~~~~~~~~~~~~~~~~~~^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/database/mariadb/mysqlclient.py", line 113, in get_connection
    conn = self._get_connection()
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/database/mariadb/mysqlclient.py", line 118, in _get_connection
    return self.create_connection()
           ~~~~~~~~~~~~~~~~~~~~~~^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/database/mariadb/mysqlclient.py", line 121, in create_connection
    return MySQLdb.connect(**self.get_connection_settings())
           ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/env/lib/python3.14/site-packages/MySQLdb/__init__.py", line 121, in Connect
    return Connection(*args, **kwargs)
  File "/home/sanjayh/frappe16-bench/env/lib/python3.14/site-packages/MySQLdb/connections.py", line 200, in __init__
    super().__init__(*args, **kwargs2)
    ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^
MySQLdb.OperationalError: (1045, "Access denied for user '_822c72c2e1855b78'@'localhost' (using password: YES)")

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/sanjayh/frappe16-bench/env/lib/python3.14/site-packages/gunicorn/workers/sync.py", line 134, in handle
    self.handle_request(listener, req, client, addr)
    ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/env/lib/python3.14/site-packages/gunicorn/workers/sync.py", line 177, in handle_request
    respiter = self.wsgi(environ, resp.start_response)
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/app.py", line 84, in application
    app(environ, start_response),
    ~~~^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/env/lib/python3.14/site-packages/werkzeug/wrappers/request.py", line 193, in application
    resp = f(*args[:-2] + (request,))
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/app.py", line 145, in application
    response = e.get_response(request.environ) if isinstance(e, HTTPException) else handle_exception(e)
                                                                                    ~~~~~~~~~~~~~~~~^^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/permissions.py", line 930, in wrapper
    return fn(e, *args, **kwargs)
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/app.py", line 354, in handle_exception
    frappe.get_request_header("Accept") and (frappe.local.is_ajax or "application/json" in accept_header)
                                             ^^^^^^^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/utils/local.py", line 28, in __getattribute__
    raise AttributeError(name)
AttributeError: is_ajax
[2026-08-13 05:10:34 +0000] [472] [INFO] Handling signal: term
[2026-08-13 05:10:34 +0000] [1242] [INFO] Worker exiting (pid: 1242)
[2026-08-13 05:10:34 +0000] [1243] [INFO] Worker exiting (pid: 1243)
[2026-08-13 05:10:34 +0000] [1245] [INFO] Worker exiting (pid: 1245)
[2026-08-13 05:10:34 +0000] [1244] [INFO] Worker exiting (pid: 1244)
[2026-08-13 05:10:34 +0000] [1246] [INFO] Worker exiting (pid: 1246)
[2026-08-13 05:10:34 +0000] [1247] [INFO] Worker exiting (pid: 1247)
[2026-08-13 05:10:34 +0000] [1248] [INFO] Worker exiting (pid: 1248)
[2026-08-13 05:10:34 +0000] [1241] [INFO] Worker exiting (pid: 1241)
[2026-08-13 05:10:34 +0000] [1240] [INFO] Worker exiting (pid: 1240)
[2026-08-13 05:10:35 +0000] [472] [INFO] Shutting down: Master
[2026-08-13 05:10:37 +0000] [1370] [INFO] Starting gunicorn 23.0.0
[2026-08-13 05:10:37 +0000] [1370] [INFO] Listening at: http://127.0.0.1:8001 (1370)
[2026-08-13 05:10:37 +0000] [1370] [INFO] Using worker: sync
[2026-08-13 05:10:37 +0000] [1415] [INFO] Booting worker with pid: 1415
[2026-08-13 05:10:37 +0000] [1416] [INFO] Booting worker with pid: 1416
[2026-08-13 05:10:37 +0000] [1417] [INFO] Booting worker with pid: 1417
[2026-08-13 05:10:37 +0000] [1418] [INFO] Booting worker with pid: 1418
[2026-08-13 05:10:37 +0000] [1419] [INFO] Booting worker with pid: 1419
[2026-08-13 05:10:37 +0000] [1420] [INFO] Booting worker with pid: 1420
[2026-08-13 05:10:37 +0000] [1421] [INFO] Booting worker with pid: 1421
[2026-08-13 05:10:37 +0000] [1422] [INFO] Booting worker with pid: 1422
[2026-08-13 05:10:37 +0000] [1423] [INFO] Booting worker with pid: 1423
[2026-08-13 05:10:58 +0000] [1423] [ERROR] Error handling request /
Traceback (most recent call last):
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/utils/caching.py", line 65, in wrapper
    return _cache[func][args_key]
           ~~~~~~~~~~~~^^^^^^^^^^
KeyError: ((), <object object at 0x73ee6db81440>, frozenset({('_ensure_on_bench', True)}))

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/app.py", line 102, in application
    init_request(request)
    ~~~~~~~~~~~~^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/app.py", line 180, in init_request
    frappe.init(site, sites_path=_sites_path, force=True, is_request=True)
    ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/__init__.py", line 225, in init
    setup_module_map(include_all_apps=not (is_request or is_job or frappe.flags.in_migrate))
    ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/__init__.py", line 1056, in setup_module_map
    apps = get_installed_apps(_ensure_on_bench=True)
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/utils/caching.py", line 71, in wrapper
    return_val = func(*args, **kwargs)
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/__init__.py", line 936, in get_installed_apps
    installed = orjson.loads(db.get_global("installed_apps") or "[]")
                             ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/database/database.py", line 1142, in get_global
    return self.get_default(key, user)
           ~~~~~~~~~~~~~~~~^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/database/database.py", line 1146, in get_default
    d = self.get_defaults(key, parent)
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/database/database.py", line 1162, in get_defaults
    defaults = frappe.defaults.get_defaults_for(parent)
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/defaults.py", line 249, in get_defaults_for
    .run(as_dict=True)
     ~~~^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/query_builder/utils.py", line 131, in execute_query
    result = frappe.local.db.sql(query, params, *args, **kwargs)  # nosemgrep
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/database/database.py", line 249, in sql
    self.connect()
    ~~~~~~~~~~~~^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/database/database.py", line 147, in connect
    self.get_connection()
    ~~~~~~~~~~~~~~~~~~~^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/database/mariadb/mysqlclient.py", line 113, in get_connection
    conn = self._get_connection()
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/database/mariadb/mysqlclient.py", line 118, in _get_connection
    return self.create_connection()
           ~~~~~~~~~~~~~~~~~~~~~~^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/database/mariadb/mysqlclient.py", line 121, in create_connection
    return MySQLdb.connect(**self.get_connection_settings())
           ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/env/lib/python3.14/site-packages/MySQLdb/__init__.py", line 121, in Connect
    return Connection(*args, **kwargs)
  File "/home/sanjayh/frappe16-bench/env/lib/python3.14/site-packages/MySQLdb/connections.py", line 200, in __init__
    super().__init__(*args, **kwargs2)
    ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^
MySQLdb.OperationalError: (1045, "Access denied for user '_822c72c2e1855b78'@'localhost' (using password: YES)")

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/sanjayh/frappe16-bench/env/lib/python3.14/site-packages/gunicorn/workers/sync.py", line 134, in handle
    self.handle_request(listener, req, client, addr)
    ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/env/lib/python3.14/site-packages/gunicorn/workers/sync.py", line 177, in handle_request
    respiter = self.wsgi(environ, resp.start_response)
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/app.py", line 84, in application
    app(environ, start_response),
    ~~~^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/env/lib/python3.14/site-packages/werkzeug/wrappers/request.py", line 193, in application
    resp = f(*args[:-2] + (request,))
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/app.py", line 145, in application
    response = e.get_response(request.environ) if isinstance(e, HTTPException) else handle_exception(e)
                                                                                    ~~~~~~~~~~~~~~~~^^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/permissions.py", line 930, in wrapper
    return fn(e, *args, **kwargs)
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/app.py", line 354, in handle_exception
    frappe.get_request_header("Accept") and (frappe.local.is_ajax or "application/json" in accept_header)
                                             ^^^^^^^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/utils/local.py", line 28, in __getattribute__
    raise AttributeError(name)
AttributeError: is_ajax
[2026-08-13 05:10:58 +0000] [1423] [ERROR] Error handling request /favicon.ico
Traceback (most recent call last):
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/utils/caching.py", line 65, in wrapper
    return _cache[func][args_key]
           ~~~~~~~~~~~~^^^^^^^^^^
KeyError: ((), <object object at 0x73ee6db81440>, frozenset({('_ensure_on_bench', True)}))

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/app.py", line 102, in application
    init_request(request)
    ~~~~~~~~~~~~^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/app.py", line 180, in init_request
    frappe.init(site, sites_path=_sites_path, force=True, is_request=True)
    ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/__init__.py", line 225, in init
    setup_module_map(include_all_apps=not (is_request or is_job or frappe.flags.in_migrate))
    ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/__init__.py", line 1056, in setup_module_map
    apps = get_installed_apps(_ensure_on_bench=True)
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/utils/caching.py", line 71, in wrapper
    return_val = func(*args, **kwargs)
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/__init__.py", line 936, in get_installed_apps
    installed = orjson.loads(db.get_global("installed_apps") or "[]")
                             ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/database/database.py", line 1142, in get_global
    return self.get_default(key, user)
           ~~~~~~~~~~~~~~~~^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/database/database.py", line 1146, in get_default
    d = self.get_defaults(key, parent)
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/database/database.py", line 1162, in get_defaults
    defaults = frappe.defaults.get_defaults_for(parent)
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/defaults.py", line 249, in get_defaults_for
    .run(as_dict=True)
     ~~~^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/query_builder/utils.py", line 131, in execute_query
    result = frappe.local.db.sql(query, params, *args, **kwargs)  # nosemgrep
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/database/database.py", line 249, in sql
    self.connect()
    ~~~~~~~~~~~~^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/database/database.py", line 147, in connect
    self.get_connection()
    ~~~~~~~~~~~~~~~~~~~^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/database/mariadb/mysqlclient.py", line 113, in get_connection
    conn = self._get_connection()
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/database/mariadb/mysqlclient.py", line 118, in _get_connection
    return self.create_connection()
           ~~~~~~~~~~~~~~~~~~~~~~^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/database/mariadb/mysqlclient.py", line 121, in create_connection
    return MySQLdb.connect(**self.get_connection_settings())
           ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/env/lib/python3.14/site-packages/MySQLdb/__init__.py", line 121, in Connect
    return Connection(*args, **kwargs)
  File "/home/sanjayh/frappe16-bench/env/lib/python3.14/site-packages/MySQLdb/connections.py", line 200, in __init__
    super().__init__(*args, **kwargs2)
    ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^
MySQLdb.OperationalError: (1045, "Access denied for user '_822c72c2e1855b78'@'localhost' (using password: YES)")

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/sanjayh/frappe16-bench/env/lib/python3.14/site-packages/gunicorn/workers/sync.py", line 134, in handle
    self.handle_request(listener, req, client, addr)
    ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/env/lib/python3.14/site-packages/gunicorn/workers/sync.py", line 177, in handle_request
    respiter = self.wsgi(environ, resp.start_response)
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/app.py", line 84, in application
    app(environ, start_response),
    ~~~^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/env/lib/python3.14/site-packages/werkzeug/wrappers/request.py", line 193, in application
    resp = f(*args[:-2] + (request,))
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/app.py", line 145, in application
    response = e.get_response(request.environ) if isinstance(e, HTTPException) else handle_exception(e)
                                                                                    ~~~~~~~~~~~~~~~~^^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/permissions.py", line 930, in wrapper
    return fn(e, *args, **kwargs)
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/app.py", line 354, in handle_exception
    frappe.get_request_header("Accept") and (frappe.local.is_ajax or "application/json" in accept_header)
                                             ^^^^^^^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/utils/local.py", line 28, in __getattribute__
    raise AttributeError(name)
AttributeError: is_ajax
[2026-08-13 05:10:59 +0000] [1421] [ERROR] Error handling request /
Traceback (most recent call last):
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/utils/caching.py", line 65, in wrapper
    return _cache[func][args_key]
           ~~~~~~~~~~~~^^^^^^^^^^
KeyError: ((), <object object at 0x73ee6db81440>, frozenset({('_ensure_on_bench', True)}))

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/app.py", line 102, in application
    init_request(request)
    ~~~~~~~~~~~~^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/app.py", line 180, in init_request
    frappe.init(site, sites_path=_sites_path, force=True, is_request=True)
    ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/__init__.py", line 225, in init
    setup_module_map(include_all_apps=not (is_request or is_job or frappe.flags.in_migrate))
    ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/__init__.py", line 1056, in setup_module_map
    apps = get_installed_apps(_ensure_on_bench=True)
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/utils/caching.py", line 71, in wrapper
